objectid,city_name,city_altnm,lat,lng
18964,Bucuresti,"Buh, Boekarest, Boukouresti, Bucarest, Bucaresta",44.432246059,26.106256555
18965,Luxembourg-Ville,Bandar Luxembourg,49.61166932,6.12999825399999
18966,Wien,Vienna,48.20848998,16.372079289
18967,Praha,"Praag, Prag, Pragae, Prago, Prague",50.088037229,14.420757356
18968,Kobenhavn,"Cobanhavan, Copenaghen, Copenhagen, Copenhague, Koben",55.675937197,12.565528001
18969,Kiev,"Chijv, Civ, Cív, Gorad Kieu",50.454659619,30.523797161
18970,Meta-Utu,"Mata Utu, Matā'Utu",-13.28163,-176.17453
18971,Grand Turk,Cockburn Town,21.46122,-71.14188
18972,St. Helier,Saint Helier,49.18804,-2.10491000000002
18973,Agana,Hagåtña,13.47567,144.74886
18974,St. Peter Port,"Saint Peter Port, Saint-Pierre-Port",49.45981,-2.53527000000003
18975,Thorshavn,"Tórshavn, Thorshavn, Torshamn, Þórshöfn",62.00973,-6.77163999999999
18976,Jamestown,"",-15.938719404,-5.71674873699999
18977,The Valley,"",18.217039647,-63.057828002
18978,Oranjestad,"",12.5256452635,-70.036308304
18979,Basse-Terre,"",15.998535887,-61.725478351
18980,Castries,Kastri,14.010576591,-60.990406419
18981,Saint-Pierre,"",46.779138756,-56.177299708
18982,Washington,"",38.713446165,-78.159437703
18983,Charlotte Amalie,"",18.341896099,-64.93069728
18984,Stanley,"",-51.699999407,-57.849996365
18985,Cayenne,Kayenn,4.93333196499998,-52.333326584
18986,Jerusalem,"יְרוּשָׁלַיִם, القُدس",31.769036152,35.21632706
18987,Tirana,"Tiranë, Gorad Tyrana, Terana, Theranda, Tiorána, Tiran",41.327498189,19.818888657
18988,Andorra La Vella,"Andorra La Vieja, Andorre-La-Vieille, Andòrra La Vièlha",42.507789007,1.52108698699999
18989,Gibraltar,"",36.144735942,-5.35256983599999
18990,Douglas,Doolish,54.149998396,-4.48332665200002
18991,Vaduz,Vadoz,47.141508665,9.52153886399998
18992,San Marino,"San Marèin, San Maroin",43.936667734,12.446386524
18993,Pago Pago,"",-14.27500344,-170.704825644
18994,Avarua,"",-21.2080198705,-159.771505284
18995,Alofi,"",-19.054505725,-169.917679871
18996,Kingston,"",-29.054586823,167.966279768
18997,Adamstown,"",-25.065966334,-130.10146767
18998,Apia,"Āpia, Apiae, Apija, Apio, Apiya",-13.833327147,-171.766658754
18999,Funafuti,Funafutti,-8.52817752200002,179.191837209
19000,Citta` Del Vaticano,Vatican City,41.902135861,12.45338457
19001,Garapan,"",15.211320812,145.721805257
19002,Palikir,"",6.92477861100002,158.163293058
19003,Hanoi,"Anoi, Anòy, Han",21.024496322,105.841168007
19004,Naypyidaw,"",19.803255684,96.185659396
19005,Lobamba,"",-26.442858885,31.206574832
19006,Saint George'S,"",12.0537529705,-61.747484828
19007,Road Town,"",18.427235627,-64.622897996
19008,Brades,"",16.788833624,-62.208642079
19009,Plymouth,"",16.714239861,-62.2212635
19010,Basseterre,"",17.299815309,-62.722497515
19011,Charlestown,"",17.139282379,-62.623320102
19012,Monaco,Monte Carlo,43.733092169,7.41884691000001
19013,Yaren,"",-0.546921041000019,166.91636932
19014,San Antonio,"",-33.580460465,-71.60992709
19015,Rosario,"Rosario,Villa Del Rosario",-34.316665722,-57.34999906
19016,San Antonio,"",-25.412622312,-57.574003577
19017,Mwanza,"Gorad Mvanza, Mwz, Muansa",-2.51666882900003,32.899998229
19018,Depok,"",-6.40742374799999,106.814018736
19019,Tasikmalaya,"",-7.32624771399998,108.220114063
19020,Bekasi,"",-6.234984505,106.994539943
19021,Aba,Aba,5.11273717699999,7.36434733499999
19022,Benin City,"",6.33305982000002,5.62210348299999
19023,Ibadan,"",7.37715344349999,3.89765913299999
19024,Kaduna,"",10.518293446,7.43598251999998
19025,Kisangani,"",0.518405846999997,25.205725008
19026,Mosul,"Al Mawsil, Al Mawşil, Al Mosul",36.334999607,43.118886367
19027,Kirkuk,"Kik, Karkh Slukh, Karkuk",35.468055913,44.392218777
19028,Srinagar,"Gorad Srynagar, Sxr, Shrinagar",34.085648482,74.805546758
19030,Mandalay,"Gorad Mandalaj, Mdl, Mandalaj",21.974725651,96.083586344
19031,Haikou,"Chaj-Kchou, Gorad Khajkou, Hak",20.045827119,110.341665749
19032,Zhanjiang,"Chan-Chiang, Chan-Chiang-Shih, Chankiang",21.281449694,110.342709744
19033,Kunming,"Con Minh, Côn Minh, K'Un-Ming-Hsien",25.038888198,102.718325717
19034,Nanning,"Lam-Leng-Chhi, Lâm-Lêng-Chhī, Nng",22.816667454,108.316665639
19035,Zhaoqing,"Cao-Cching, Chao-Ch'Ing, Chao-Ch'Ing-Chen",23.051156925,112.45971645
19036,Chengdu,"Ctu, Ccheng-Tu, Cendu",30.666666992,104.066668297
19037,Xiangyang,"Fancheng, Fancheng Zhen, Hsiang-Fan",32.042198453,112.144789833
19038,Guangzhou,"Can, Cantao, Canton",23.116667637,113.249998481
19039,Shantou,"San Gjau, San-Tchou, San-Theu-Su",23.368135533,116.71478977
19040,Chaozhou,"Caodzou, Caogou, Cchao-Cou",23.653956278,116.622616675
19041,Chenzhou,"Ch'En, Ch'En-Chou-Shih, Ch'En-Hsien",25.799996857,113.033328932
19042,Ganzhou,"Cam Chau, Cám Châu, Gan'Chzhou",25.846639152,114.932599594
19043,Quanzhou,"Cchuean-Cou, Ch'Uan-Chou, Ch'Uan-Chou-Shih",24.913887747,118.585827556
19044,Taoyuan,"Hsin-Chu, Hsin-Chu-Hsien, T'Ao-Yuan",24.989599915,121.318697058
19045,Wenzhou,"On Chau, Un-Chiu-Chhi, Un-Chiu-Chhī",27.999416201,120.66681642
19046,Wuhan,"Bu-Han-Chhi, Bú-Hàn-Chhī, Gorad Ukhan'",30.583327357,114.266665518
19047,Shangrao,"Kuanghsin, Kwangsin, Sqd",28.451785715,117.942865879
19048,Suzhou,"Su-Hsien, Suchow, Suchzhou",33.636109455,116.978889111
19049,Hangzhou,"Chan'Nktsoou, Chang-Cou, Chang-Čou",30.293645629,120.161419139
19050,Jiaxing,"Chia-Hsing, Chia-Hsing-Hsien, Chia-Hsing-Hsien-Ch'Eng",30.752198116,120.749998555
19051,Nanjing,"Gorad Nankin, Lâm-Kiaⁿ-Chhī, Nkg",32.061669867,118.777778713
19052,Nantong,"Lam-Thong-Chhi, Lâm-Thong-Chhī, Ntg",32.030278005,120.874715507
19053,Tianjin,T'Ien-Chin,39.142217783,117.176667742
19054,Qingdao,"Cching-Tao, Ch'Ing-Tao, Ch'Ing-Tao-Shih",36.066049288,120.369385726
19055,Weihai,"Uy Hai, Uy Hải, 威海",37.509138952,122.113555569
19056,Qinhuangdao,"Bpe, Cchin-Chuang-Tao, Ch'In-Huang-Tao",39.931667317,119.588328655
19057,Yingkou,"Eiko, Inkou, Newchwang",40.664817598,122.228327565
19058,Shenyang,"Feng-T'Ien, Feng-T’Ien, Moukden",41.792215649,123.432778777
19059,Changwon,"Cangvonas, Cchangwon, Ch'Angwon",35.228058466,128.681105736
19060,La Paz,"",-34.755628354,-56.22720572
19061,Santa Cruz,"",36.974200946,-122.029718212
19062,Monrovia,"",34.148349831,-118.001451738
19063,Alexandria,"",31.311247939,-92.444908766
19064,Manchester,"",38.596997666,-90.509288271
19065,Guadalajara,"",40.632697834,-3.164606779
19066,Birmingham,Birmingham,52.477539544,-1.89405300200002
19067,Onitsha,"Yenagoa, Yenegoa",6.13323397699997,6.792317943
19068,Tripoli,"Tripoli, Τρίπολη",37.510209656,22.37243997
19069,Alexandria,Alexandria,43.970223569,25.328846184
19070,Maoming,茂名市,21.665656186,110.919631453
19071,Zhuhai,珠海市,22.230519598,113.546243891
19072,Liupanshui,六盘水市,26.592770547,104.839316245
19073,Guiyang,贵阳市,26.58141114,106.705254375
19074,Liuzhou,"Liuzhou, 柳州市",24.321304375,109.406618553
19075,Guilin,桂林市,25.281535789,110.291233047
19076,Zhongshan,钟山县,24.533332998,111.299999956
19077,Zunyi,遵义市,27.729381428,106.923218474
19078,Quanzhou,全州,25.932490734,111.067230481
19079,Leshan,"Leshan, 乐山市",29.560875467,103.761992158
19080,Chongqing,"Chongqing, 重庆市",29.558571198,106.54928216
19081,Nanchong,"Nanchong, 南充市",30.795569535,106.083553864
19082,Bazhong,"Bazhong, 巴中市",31.859018219,106.754750938
19083,Yichang,宜昌市,30.703119573,111.275018029
19084,Wuxi,巫溪县,31.396984498,109.566237818
19085,Shiyan,十堰市,32.642067432,110.7782466
19086,Yiwu,"Ara Türük, 伊吾县",43.25291203,94.696093583
19087,Lanzhou,兰州市,36.059311186,103.82391548
19088,Xining,西宁市,36.621903688,101.772989753
19089,Yinchuan,银川市,38.482919378,106.211601349
19090,Baoji,宝鸡市,34.364581056,107.233218386
19091,Binzhou,"Bin, 彬州市",35.03628775,108.079760347
19092,Luoyang,洛阳市,34.655687236,112.420962829
19093,Baotou,包头市,40.660200953,109.830324262
19094,Hohhot,呼和浩特市,40.833796287,111.673078717
19095,Dongguan,东莞市,23.044471127,113.746551177
19096,Shenzhen,深圳市,22.544569644,114.05453457
19097,Huizhou,惠州市,23.106086162,114.414110421
19098,Puning,普宁市,23.300181955,116.168009997
19099,Jieyang,揭阳市,23.54308163,116.349716834
19100,Guiyang,桂阳县,25.756164661,112.729639992
19101,Putian,莆田市,25.434219867,119.007462427
19102,Yueyang,岳阳市,29.369136498,113.095512999
19103,Nanchang,南昌县,28.56151297,115.928599289
19104,Luohe,Luohe,33.572055347,114.02851622
19105,Hefei,合肥市,31.82280932,117.221803232
19106,Fuyang,"Fuyang, 阜阳市",32.892676279,115.809000092
19107,Huainan,"Huainan, 淮南市",32.586682582,117.013001894
19108,Jinhua,金华市,29.108034347,119.648648683
19109,Yiwu,义乌市,29.306353445,120.070268135
19110,Huizhou,徽州区,29.831086065,118.335844079
19111,Fuyang,"Fuyang, 富阳区",30.051617877,119.955706546
19112,Shaoxing,"Shaoxing, 绍兴市",29.999242465,120.576853935
19113,Huzhou,湖州市,30.864539187,120.095067756
19114,Wenling,温岭市,28.375414352,121.381201228
19115,Cixi,"Cixi, 慈溪市",30.170867465,121.26178593
19116,Ma'Anshan,马鞍山市,31.686610434,118.504837663
19117,Suzhou,"Sūzhōu, 苏州市",31.301693491,120.581072463
19118,Wuxi,"Wúxī, 无锡市",31.576054137,120.29553874
19119,Changzhou,常州市,31.8129864,119.969204428
19120,Yangzhou,扬州市,32.392697263,119.436575887
19121,Lanús,"Lanus, Lanús",-34.703541783,-58.400512011
19122,Shidao,石岛管理区,36.879687619,122.423930564
19123,Huai'An County,怀安县,40.673488868,114.379905718
19124,Xuanhua,宣化区,40.608002819,115.092783481
19125,Baochang,"",41.891951116,115.276004876
19126,Huangcun,"",39.725412974,116.335441698
19127,Fengtai,丰台区,39.857200632,116.280164556
19128,Mentougou,门头沟区,39.938998283,116.094756774
19129,Shijingshan,石景山区,39.904610185,116.216796949
19130,Tongzhou,通州区,39.908824522,116.651168964
19131,Yutian,玉田县,39.877527115,117.747738118
19132,Lebu,"Ciudad De Lebu, Lebu, Puerto Lebu",-37.608248271,-73.653557985
19133,Angol,"Angol, Angol', Angolis",-37.795186451,-72.716356099
19134,San Pedro De La Paz,San Pedro De La Pas,-36.838967649,-73.100276414
19135,Cauquenes,"Cauquenes, De Cauquenes, Kaukenes",-35.967096476,-72.322477329
19136,Constitución,"Constitucion, Constitución",-35.333206759,-72.411558937
19137,Linares,"Linares, Zlr, Li Na Lei Si",-35.846668005,-71.593075531
19138,Curicó,"Curico, Curicó, Kuriko",-34.982788798,-71.239426583
19139,San Fernando,San-Fernando,-34.581206061,-70.98952918
19140,Rengo,"Rengo, Ренго",-34.406386328,-70.858336756
19141,Melipilla,"Melipil'Ja, Melipilla, Mellipilla",-33.689089477,-71.215279689
19142,Colina,Colina,-33.204428105,-70.674737562
19143,Quillota,"Kil'Ota, Kiljota, Quillota",-32.883408514,-71.248818042
19144,San Felipe,San Felipe,-32.749759101,-70.725839338
19145,Los Andes,"Andes, Ciudad Los Andes, Lob",-32.833688232,-70.598269398
19146,Illapel,"Il'Japel', Iljapelis, Illapel",-31.633489502,-71.16966789
19147,Ovalle,"Ovl, Oval'E, Ovalje",-30.601059034,-71.199007761
19148,Vallenar,Vallenar,-28.576166924,-70.759377691
19149,Berisso,Berisso,-34.873497777,-57.88302622
19150,Caldera,Caldera,-27.068115544,-70.819209428
19151,Trelew,"Rel, Trelew, Trelju",-43.248946508,-65.305046136
19152,Puerto Madryn,"Madryn, Madrynhyd, Madrynhȳð",-42.769199114,-65.038507806
19153,Viedma,"V'Edma, V'Edmae",-40.8134492,-62.99667777
19154,Tandil,"Tandil, Tandil', Tandilis",-37.32166703,-59.133156732
19155,Moreno,"",-34.634008829,-58.791378732
19156,Merlo,"Merlo, Mei Luo, Meruro",-34.668537177,-58.722245536
19157,Pilar,Pilar,-34.457609603,-58.913845694
19158,San Miguel,"",-34.557468665,-58.735997475
19159,San Justo,San Justo,-34.676596642,-58.560579245
19160,Morón,"6 De Septiembre, Moron, Morón",-34.653439744,-58.619749486
19161,Lomas De Zamora,"L. De Zamora, Lomas De Zamora",-34.760876772,-58.406319923
19162,Avellaneda,"Avel'Janeda, Avelaneda, Aveljaneda",-34.660176214,-58.367435593
19163,Vicente López,"V. Lopez, V. López, Vicente Lopez",-34.529469788,-58.473698127
19164,Berazategui,"",-34.765309252,-58.212775772
19165,Quilmes,"Kil'Mes, Kilmes, Kilmesas",-34.724179433,-58.252645597
19166,Colonia Del Sacramento,"Cyr, Ciudad De La Colonia Del Sacramento, Colonia",-34.462618081,-57.83975891
19167,Carmelo,"Carmelo, Las Viboras, Las Víboras",-34.000227111,-58.284019459
19168,Libertad,"Liberfad, Libertad",-34.634589326,-56.617388776
19169,Santa Lucía,"San Juan Bautista, Santa Lucia, Santa Lucía",-34.453325622,-56.390558272
